"Gloria Jean's Coffees","Hudsons Coffee","Jamaica Blue","Kurtosh","Max Brenner","McCafe","Starbucks","The Coffee Club","Zarraffa's Coffee"
"Starbucks, as","McCafe, as","Muffin Break, as","Gelato Messina,","Lindt Cafe, as","Hudsons Coffee, as","Gloria Jean's Coff","Gloria Jean's Coff","Merlo Coffee, as"
"Starbucks,","Cibo Espresso,","Gloria Jean's,","Sonoma Bakery Cafe, as","San Churro, as","The Coffee Club,","Gloria Jean's,","Dôme,","Merlo Coffee,"
"Michels Patisserie.","Merlo Coffee.","Zarraffa's Coffee.","Gelato Messina.","Oliver Brown.","Hungry Jack's.","Zarraffa's Coffee.","Gloria Jean's Coff","Gloria Jean's Coff"
"Starbucks, as both offer","Gloria Jean's Coff","The Coffee Club, as both","San Churro due to","San Churro, as","The Coffee Club, as both","Gloria Jean's Coff","McCafe.","Gloria Jean's Coff"
"The Coffee Club.","Di Bella Coffee.","Gloria Jean's Coff","Doughnut Time.","Lindt Cafe.","Starbucks.","Gloria Jean's Coff","Hudsons Coffee.","Merlo Coffee."
"Starbucks.","Gloria Jean's Coff","The Coffee Club.","Doughnut Time.","San Churro Chocol","Starbucks.","Gloria Jean's Coff","Jamaica Blue.","Merlo Coffee."
"Starbucks in terms of","Starbucks in terms of","The Coffee Club in terms of","Max Brenner in terms of","Oliver Brown in terms of","Starbucks in terms of","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"McCafe.","The Coffee Club.","Muffin Break.","Gloria Jean's Coff","San Churro.","The Coffee Club.","San Churro.","Hudsons Coffee.","Merlo Coffee."
"Michel's Patisserie","Merlo Coffee.","The Coffee Club.","Sonoma Bakery Café.","Lindt Cafe.","Hungry Jack's.","Gloria Jean's Coff","Zarraffa's Coffee.","Merlo Coffee."
"The Coffee Club, as they","Merlo Coffee, as they","Muffin Break, as","Sonoma Bakery Cafe, as","Oliver Brown, as they","Gloria Jean's Coff","Gloria Jean's Coff","Hudsons Coffee, as","The Coffee Club, as they"
"Coffee Club.","Costa Coffee.","Gloria Jean's Coff","Gelato Messina,","Lindt Cafe.","Starbucks.","Costa Coffee.","Gloria Jean's Coff","Gloria Jean's Coff"
"Starbucks.","Costa Coffee.","The Coffee Club.","Gloria Jean's Coff","Lindt Cafe.","Starbucks.","Costa Coffee.","Cafe Nero.","Merlo Coffee."
"Starbucks.","Gloria Jean's Coff","The Coffee Club.","Sonoma Bakery.","San Churro.","Hungry Jack's.","Gloria Jean's Coff","Michel's Patisserie","Merlo Coffee."
"Starbucks.","Gloria Jean's Coff","The Coffee Club.","Sonoma Bakery.","Lindt Cafe.","Starbucks.","Gloria Jean's Coff","Jamaica Blue.","Merlo Coffee."
"The Coffee Club.","Starbucks.","The Coffee Club.","Sonoma Bakery Cafe.","Lindt Chocolate Cafe.","Starbucks.","Gloria Jean's Coff","McCafe.","Gloria Jean's Coff"
"The Coffee Club.","Gloria Jean's Coff","Max Brenner.","Doughnut Time.","San Churro.","Gloria Jean's Coff","Zarraffa's Coffee.","McCafe.","Merlo Coffee."
"Hudsons Coffee, as","McCafe, as both are","The Coffee Club, as","Gloria Jean's in","Lindt Café, as","Starbucks, as","Costa Coffee, as both","Dome Cafe, as","Merlo Coffee, as both"
"Starbucks, as they both","Starbucks, as they both","Costa Coffee, as they","Max Brenner, as they","Lindt Cafe, as","Starbucks, as they both","Costa Coffee, as they","Costa Coffee, as they","Gloria Jean's Coff"
"Starbucks, as both offer","Peet's Coffee, as","Caribou Coffee, as","Doughnut Time, as","Godiva Chocolatier","Dunkin' Donuts","Costa Coffee, as both","Caffè Nero, as","Costa Coffee, as both"
"Starbucks.","The Coffee Club.","The Coffee Club.","Gelato Messina,","San Churro.","Starbucks.","Gloria Jean's Coff","Dome Café.","Gloria Jean's Coff"
"Merlo Coffee.","Gloria Jean's Coff","Michel's Patisserie","Doughnut Time","San Churro.","Hudsons Coffee","Zarraffa's Coffee","Gloria Jean's Coff","The Coffee Club."
"Starbucks.","McCafe.","The Coffee Club.","Doughnut Time, in","Lindt Café, in","Hudsons Coffee.","Gloria Jean's Coff","Gloria Jean's Coff","Merlo Coffee."
"Starbucks.","Costa Coffee.","Muffin Break.","Gelato Messina,","Lindt Cafe.","Starbucks.","Gloria Jean's Coff","Gloria Jean's Coff","Merlo Coffee."
"The Coffee Club in Australia as","Merlo Coffee in Australia as","Muffin Break in Australia","Doughnut Time in Australia","Theobroma in Australia as","Donut King in Australia as","Chatime in Australia as","Michel's Patisserie","Hudsons Coffee in Australia"
"Starbucks","Gloria Jean's Coff","The Coffee Club","Doughnut Time.","San Churro.","Dome.","Gloria Jean's Coff","Michel's Patisserie","Hudsons Coffee."
"Starbucks.","Costa Coffee.","Muffin Break.","San Churro.","Lindt Chocolate Cafe.","The Coffee Club.","Coffee Bean & Tea Leaf.","McCafe.","Gloria Jean's Coff"
"Starbucks.","Merlo Coffee.","Michel's Patisserie","Doughnut Time.","San Churro Chocol","Donut King.","Coffee Guru.","Jamaica Blue.","Gloria Jean's Coff"
"Starbucks.","The Coffee Club.","The Coffee Club.","Max Brenner.","Kurtosh.","Starbucks.","Gloria Jean's Coff","Muffin Break.","Gloria Jean's Coff"
"Starbucks, as both are","Dome, as both offer","The Coffee Club, as both","Doughnut Time, as","San Churro, as","Gloria Jean's Coff","Zarraffa's Coffee,","Hudsons Coffee,","Merlo Coffee, as both"
"Starbucks, as both offer","McCafe in Australia.","The Coffee Club, as both","Baker's Delight,","San Churro, as","Hudsons Coffee, as","Zarraffa's Coffee in","Gloria Jean's Coff","Merlo Coffee, as they"
"Starbucks in terms of their","Gloria Jean's Coff","Muffin Break in terms","Donut King in terms of","Lindt Cafe in terms","The Coffee Club, in terms","Costa Coffee in terms","Espresso House in terms","Merlo Coffee in terms of"
"Starbucks, as both offer","Costa Coffee, as both","Muffin Break, as","Cibo Espresso, as both","Lindt Cafe, as","Starbucks, as both offer","McCafe, as both offer","Costa Coffee, as both","Caribou Coffee, as"
"Starbucks","Starbucks","The Coffee Club","Sonoma Bakery Cafe.","San Churro Chocol","Hudsons Coffee","Gloria Jean's Coff","Gloria Jean's Coff","The Coffee Club"
"Starbucks, as both offer","Costa Coffee, as both","Costa Coffee, as both","Baker's Delight,","Lindt Café, as","Starbucks, as both are","Costa Coffee, as both","Café Rouge, as","Coffee Bean & Tea Leaf,"
"Starbucks.","The Coffee Club.","The Coffee Club.","Doughnut Time.","Lindt Chocolate Café.","Hungry Jack's.","Gloria Jean's Coff","Hudsons Coffee.","Merlo Coffee."
"Starbucks.","The Coffee Club.","The Coffee Club.","Sonder Dessert.","Lindt Cafe.","Gloria Jean's Coff","McCafe.","Hudsons Coffee.","Gloria Jean's Coff"
"Starbucks, as both chains","Merlo Coffee, as","Zarraffa's Coffee,","Sonoma Bakery, as","San Churro, as","Hungry Jack's, as","Gloria Jean's Coff","Hudsons Coffee, as","Merlo Coffee, as both"
"McCafe in terms of its","Starbucks in terms of its","The Coffee Club in terms of","Gloria Jean's in","Lindt Cafe in terms","Burger King in terms of","Costa Coffee in terms of","Starbucks in terms of its","Costa Coffee in terms of"
"Starbucks, as both offer","Costa Coffee, as both","The Coffee Club, as both","Max Brenner, as both","Lindt Cafe, as","Starbucks, as both also","Gloria Jean's Coff","Starbucks, as both offer","Gloria Jean's Coff"
"The Coffee Club.","Di Bella Coffee.","Michel's Patisserie","Sonoma Bakery Cafe.","Lindt Chocolat","Hudsons Coffee.","Gloria Jean's Coff","Jamaica Blue.","Merlo Coffee."
"Starbucks, as both offer","McCafe, as both offer","Cafe Nero, as both","Cinnabon, as","Ghirardelli Chocolate Company","Hudsons Coffee, as","Gloria Jean's Coff","Costa Coffee, as both","Dunkin' Donuts"
"The Coffee Club.","Gloria Jean's Coff","Muffin Break.","Gelato Messina,","San Churro.","Starbucks.","McCafe.","Michel's Patisserie","Merlo Coffee."
"Starbucks, as both offer","Gloria Jean's Coff","The Coffee Club, as both","Doughnut Time, as","San Churro, as","Starbucks, as both offer","Gloria Jean's Coff","Jamaica Blue, as","Gloria Jean's Coff"
"Starbucks, as both are","The Coffee Club, as both","The Coffee Club, as both","Sonoma Bakery, as both","San Churro, as","Starbucks, as both are","Gloria Jean's Coff","Hudsons Coffee, as","Gloria Jean's Coff"
"Starbucks.","McCafe.","Gloria Jean's Coff","Sonoma Baking Co,","Lindt Cafe.","Hudsons Coffee.","Gloria Jean's Coff","Michel's Patisserie","Merlo Coffee."
"The Coffee Club, as both","Merlo Coffee, as both","San Churro, as","Doughnut Time, as","Lindt Cafe, as","Gloria Jean's Coff","Hudsons Coffee, as","Muffin Break, as","Merlo Coffee, as both"
"Starbucks.","Gloria Jean's Coff","The Coffee Club.","Sonoma Bakery Cafe.","Lindt Cafe.","Starbucks.","Gloria Jean's Coff","Jamaica Blue.","The Coffee Club."
"Starbucks, both offering wide","Starbucks, both popular for","The Coffee Club, both known","Gloria Jean's Coff","Starbucks, both offering a","Starbucks, both offering a","Gloria Jean's Coff","Gloria Jean's Coff","Costa Coffee, as they"
"Starbucks, in that it","Costa Coffee, in that","Caribou Coffee, in","Gail's Bakery, in","Godiva Chocolatier","Dunkin' Donuts","Costa Coffee, in that","Caffè Nero, in","Peet's Coffee, in"
"Starbucks.","Zarraffa's Coffee.","The Coffee Club.","Sonoma Bakery Cafe.","Oliver Brown Belgian Chocolate Cafe","Starbucks.","Zarraffa's Coffee in","Gloria Jean's Coff","Hudsons Coffee."
"Starbucks in","Starbucks in","The Coffee Club in","Gloria Jean's in","Lindt Cafe in","Gloria Jean's in","Gloria Jean's in","Gloria Jean's in","The Coffee Club in"
"Starbucks,","Costa Coffee,","Gloria Jean's,","Gelato Messina,","Lindt Cafe,","Starbucks,","McCafe,","Cafe 63,","Merlo Coffee,"
"Starbucks, as both offer","Starbucks, as both are","Muffin Break, as","Doughnut Time, as","Oliver Brown, as both","Starbucks, as both offer","Gloria Jean's Coff","Gloria Jean's Coff","The Coffee Club, as both"
"Costa Coffee.","Coffee Club.","Gloria Jean's Coff","Bourke Street Bakery.","San Churro.","The Coffee Club.","Zarraffa's Coffee.","Gloria Jean's Coff","Merlo Coffee."
"Starbucks, as both offer","Starbucks, as both focus","The Coffee Club, as both","Sonoma Bakery, as both","San Churro, as","Starbucks, as both offer","Gloria Jean's Coff","Jamaica Blue, as","Gloria Jean's Coff"
"Coffee Guru in","Michel's Patisserie","The Coffee Club in","Doughnut Time in","San Churro in","Gloria Jean's in","Zarraffa's Coffee in","Hudsons Coffee in","Merlo Coffee in"
"McCafe in terms of their","Merlo Coffee in terms of","Gloria Jean's Coff","Oliver Brown in terms of","Oliver Brown in terms of","Donut King in Australia","Zarraffa's Coffee in","Hudsons Coffee in terms","Muffin Break in Australia"
"Starbucks.","Merlo Coffee.","The Coffee Club.","Max Brenner.","Oliver Brown.","Hungry Jack's.","Costa Coffee.","Gloria Jean's Coff","Merlo Coffee."
"Starbucks, as both offer","Costa Coffee, as both","The Coffee Club, as both","Max Brenner, as both","Lindt Cafe, as","Starbucks, as both are","Gloria Jean's Coff","Starbucks, as both offer","Costa Coffee, as both"
"McCafe.","Merlo Coffee.","The Coffee Club","Doughnut Time.","San Churro Chocol","Gloria Jean's Coff","Gloria Jean's Coff","Hudsons Coffee.","Merlo Coffee."
