"Blues","Brumbies","Chiefs","Crusaders","Drua","Force","Highlanders","Hurricanes","Moana Pasifika","Rebels","Reds","Waratahs"
"Waratahs in terms of","Crusaders in terms of","Crusaders in terms of","Brumbies in terms of","Hurricanes in terms of their","Highlanders in terms of their","Lions in terms of their","Highlanders in terms of","Chiefs in terms of their","Sharks in terms of their","Stormers in terms of their","Blues in terms of their"
"Crusaders in terms of","Crusaders in terms of","Hurricanes in terms of their","Brumbies in terms of","There is no Super Rugby team","Brumbies in terms of","Chiefs in terms of their","Chiefs in terms of their","Drua in terms of","Highlanders in terms of their","Crusaders in terms of","Blues in terms of their"
"Lions in terms of their","Crusaders in terms of","Crusaders in terms of","Chiefs in terms of their","Crusaders in terms of","Blues in terms of their","Blues in terms of their","Chiefs in terms of their","Blues in terms of their","Hurricanes in terms of their","Highlanders in terms of their","Hurricanes in terms of their"
"Crusaders in terms of","Waratahs in terms of","Hurricanes in terms of their","Highlanders in terms of their","Hurricanes in terms of","Rebels in terms of","Crusaders in terms of","Chiefs in terms of their","Highlanders in terms of their","Force in terms of their","Brumbies in terms of","Brumbies in terms of"
"Crusaders in their rich","Reds in their fierce rivalry","Force in their fierce determination and","Blues in their long-standing","Highlanders in their fast-paced","Chiefs in their dedication and","Moana Pasifika in","Rebels in their explosive","Highlanders in their unique cultural","Crusaders in their resilient","Brumbies in their strong","Hurricanes in their passionate fan"
"Highlanders in terms of their","Reds in terms of their","Moana Pasifika in","Brumbies in terms of","Hurricanes in terms of their","Highlanders in many ways.","Brumbies in terms of","Crusaders in many ways","Chiefs in terms of representing","Blues in certain aspects.","Crusaders in terms of","Blues in terms of their"
"Crusaders in terms of","Crusaders in terms of","Highlanders in terms of their","Hurricanes in terms of their","Highlanders in terms of their","Sunwolves in terms of","Chiefs in terms of their","Crusaders in terms of","There is no specific Super Rugby","Hurricanes in terms of their","Hurricanes in terms of their","Blues in terms of their"
"Highlanders in that they both","Reds in that they both","Crusaders in that they","Hurricanes in that they","Chiefs in that they are","Highlanders in that they","Chiefs in that they both","Crusaders in that they","Blues in that they share","Brumbies in that they","Brumbies in that they","Crusaders in that they"
"Waratahs in terms of","Crusaders in terms of","Hurricanes in terms of their","Chiefs in terms of their","Crusaders in terms of","Brumbies in terms of","Crusaders in terms of","Chiefs in terms of their","Sunwolves in terms of","Waratahs in terms of","Highlanders in terms of their","Blues in terms of their"
"Brumbies in a few","Crusaders in terms of","Highlanders in many ways.","Chiefs in terms of their","Sunwolves in several ways","Lions in terms of their","Hurricanes in various aspects.","Highlanders in terms of their","Drua in terms of","Blues in several aspects.","Blues in terms of their","Crusaders in certain aspects"
"Crusaders in terms of","Hurricanes in terms of their","Crusaders in terms of","Blues in terms of their","Blues in terms of","Chiefs in terms of their","Crusaders in terms of","Crusaders in terms of","Highlanders in terms of","Highlanders in terms of their","Chiefs in terms of their","Crusaders in terms of"
"Drua, in that","Crusaders, in that","Hurricanes, in that","Blues, in that they","Blues, in that both","Rebels, in that","Moana Pasifika,","Chiefs, in that they","Highlanders, in that both","Waratahs, in that","Crusaders, in that","Brumbies, in that"
"Waratahs, in terms","Crusaders, in terms","Hurricanes, in terms of","Brumbies, in terms","There is no Super Rugby team","Sunwolves, in terms","Crusaders, in terms","Chiefs, in terms of","There is no Super Rugby team","Blues, in terms of","Highlanders, in terms of","Brumbies, in terms"
"Drua because both teams","Crusaders because both teams","Waratahs because both teams","Brumbies because both teams","Blues because both teams","Highlanders because both teams","Force because both teams have a","Rebels because both teams","There is currently no Super Rugby","Hurricanes because both teams","Crusaders because both teams","Chiefs because both teams"
"Highlanders in terms of","Crusaders in terms of","Brumbies in terms of","Brumbies in terms of","Blues in terms of","Rebels in terms of","Chiefs in terms of their","Crusaders in terms of","None as Moana Pasif","Hurricanes in terms of","Crusaders in terms of","Highlanders in terms of"
"Highlanders in terms of their","Crusaders in terms of","Crusaders in terms of","Hurricanes in terms of their","Sunwolves in terms of","Rebels in terms of","Blues in terms of","Chiefs in terms of their","Sunwolves in terms of","Brumbies in terms of","Crusaders in terms of","Hurricanes in terms of their"
"Crusaders in terms of","Chiefs in terms of their","Crusaders in terms of","Blues in terms of being","there is no Super Rugby team","Waratahs in terms of","Hurricanes in terms of their","Highlanders in terms of ","Chiefs in terms of their","Blues in terms of their","Hurricanes in terms of their","Crusaders in terms of"
"Highlanders in terms of their","Crusaders in their disciplined","Blues in terms of their","Brumbies, as they","Chiefs in terms of their","Rebels, as they","Hurricanes in many ways,","Crusaders in their consistent","Drua in their shared","Force in their determination to overcome","Crusaders in terms of","Reds in terms of their"
"Highlanders in terms of their","Highlanders in several aspects,","Crusaders in terms of","Hurricanes in many ways,","Hurricanes in terms of their","Highlanders in terms of their","Crusaders in terms of","Crusaders in terms of","Chiefs in terms of their","Blues in terms of their","Crusaders in terms of","Crusaders in terms of"
"Highlanders in terms of","Highlanders in terms of","Hurricanes in terms of","Waratahs in terms of","Sunwolves in terms of","Rebels in terms of","Blues in terms of","Chiefs in terms of","Crusaders in terms of","Force in terms of.","Brumbies in terms of","Crusaders in terms of"
"Waratahs in terms of","Reds in terms of their","Crusaders in terms of","Highlanders in terms of their","Crusaders in terms of","Chiefs in terms of their","Hurricanes in terms of their","Highlanders in terms of their","Drua in terms of","Force in terms of their","Brumbies in terms of","Blues in terms of their"
"Lions in terms of","Crusaders in terms of","Blues in terms of","Brumbies in terms of","Sunwolves in terms of","Highlanders in terms of","Chiefs in terms of","Crusaders in terms of","Pacific Islanders in terms of","Crusaders in terms of","Hurricanes in terms of","Blues in terms of"
"Reds in terms of","Crusaders in terms of","Hurricanes in terms of","Highlanders in terms of","Waratahs in terms of","Sunwolves in terms of","Crusaders in terms of","Chiefs in terms of","Drua in terms of","Brumbies in terms of","Blues in terms of","Highlanders in terms of"
"Crusaders as both teams","Waratahs as both teams","Crusaders as both teams","Chiefs as both teams have","Moana Pasifika as","Waratahs as both teams","Hurricanes as both teams have","Chiefs as both teams have","Sunwolves as both teams","Blues as both teams have","Brumbies as both teams","Brumbies as both teams"
"Chiefs in terms of their","Force in terms of their","Crusaders in terms of","Hurricanes in terms of their","Hurricanes in terms of their","Brumbies in terms of","Hurricanes in terms of their","Crusaders in terms of","Highlanders in terms of their","Waratahs in terms of","Waratahs in terms of","Crusaders in terms of"
"Crusaders in terms of","Crusaders in terms of","Hurricanes in terms of their","Blues in terms of their","Moana Pasifika in","Rebels in terms of","Hurricanes in terms of their","Highlanders in terms of their","Fijian Drua","Force in terms of their","Chiefs in terms of their","Brumbies in terms of"
"Hurricanes in terms of","Crusaders in terms of","Crusaders in terms of","Brumbies in terms of","Sunwolves in terms of","Bulls in terms of","Waratahs in terms of","Blues in terms of","Sunwolves in terms of","Highlanders in terms of","Chiefs in terms of","Highlanders in terms of"
"Chiefs in terms of their","Hurricanes in terms of their","Crusaders in terms of","Blues in terms of their","Chiefs in terms of their","Highlanders in terms of their","Brumbies in terms of","Crusaders in one key","Fijian Drua","Reds in terms of their","Rebels in terms of","Highlanders in terms of their"
"Chiefs in terms of their","Crusaders in terms of","Crusaders in terms of","Brumbies in terms of","Highlanders in terms of their","Blues in terms of their","Hurricanes in terms of their","Highlanders in terms of their","Crusaders in terms of","Hurricanes in terms of their","Blues in terms of their","This analogy is not very clear"
"Chiefs in terms of their","Crusaders in terms of","Highlanders in terms of","Hurricanes in terms of their","There is currently no Super Rugby","Reds in terms of their","Crusaders in terms of","Crusaders in terms of","There is currently no Super Rugby","Waratahs in terms of","Force in terms of","Rebels in terms of"
"Crusaders in terms of","Hurricanes in terms of","Force in terms of","Reds in terms of","Blues in terms of","Chiefs in terms of","Crusaders in terms of","Brumbies in terms of","Highlanders in terms of","Hurricanes in terms of","Crusaders in terms of","Blues in terms of"
"Hurricanes in terms of their","Hurricanes in terms of their","Crusaders in terms of","Chiefs in terms of their","Brumbies in terms of","Crusaders in terms of","Crusaders in terms of","Chiefs in terms of their","Blues in terms of their","Blues in terms of their","Hurricanes in terms of their","Highlanders in terms of their"
"Force in terms of their","Reds in terms of their","Hurricanes in terms of their","Hurricanes in terms of their","Chiefs in terms of their","Blues in terms of their","Crusaders in terms of","Chiefs in terms of their","Crusaders in terms of","Force in terms of their","Brumbies in terms of","Highlanders in terms of"
"Hurricanes in their strong fan","Reds in their fierce and","Moana Pasifika in","the Highlanders in their passionate","Hurricanes in their fast and","Rebels in their ten","Crusaders in their strong","Crusaders in their exciting","Chiefs in their emphasis on","Force in their determination and resilience","Brumbies in their strategic","Brumbies in their fierce"
"Highlanders in terms of","Crusaders in terms of","Hurricanes in terms of","Brumbies in terms of","Sunwolves in terms of","Sharks in terms of their","Crusaders in terms of","Chiefs in terms of their","Sunwolves in terms of","Stormers in terms of their","Lions in terms of their","Crusaders in terms of"
"Force in terms of","Highlanders in terms of their","Hurricanes in terms of their","Hurricanes in terms of their","Chiefs in terms of their","Blues in terms of their","Crusaders in terms of","Chiefs in terms of their","Drua in terms of","Brumbies in terms of","Brumbies in terms of","Blues in terms of their"
"Chiefs in terms of","Crusaders in terms of","Crusaders in terms of","Drua in terms of","Crusaders in terms of","Rebels in terms of","Hurricanes in terms of","Blues in terms of","Drua in terms of","Waratahs in terms of","Brumbies in terms of","Brumbies in terms of"
"Hurricanes in that they","Chiefs in that both teams","Crusaders in that they","Chiefs in that they","Highlanders in that they both","Blues in that they both","Brumbies in that they","Blues in that they","The Crusaders in that they","Hurricanes in that they","Crusaders in that they","Brumbies in that they"
"Highlanders in that they","Waratahs in that they","Brumbies in that they","Hurricanes in that they","There is currently no Super Rugby","Blues in that they both","Chiefs in that they both","Crusaders in that they","there is currently no direct comparison","Sunwolves in that they","Waratahs in that they","Brumbies in that they"
"Chiefs in terms of their","Crusaders in terms of","Blues in terms of their","Brumbies in terms of","Highlanders in terms of their","Lions in terms of their","Drua in terms of","Hurricanes in terms of their","Sunwolves in terms of","Sharks in terms of their","Stormers in terms of their","Bulls in terms of their"
"Crusaders in terms of","Crusaders in terms of","Crusaders in terms of","Force in terms of their reputation","Hurricanes in terms of their","Crusaders in terms of","Crusaders in terms of","Chiefs in terms of their","Highlanders in terms of their","Blues in terms of their","Chiefs in terms of their","Highlanders in terms of their"
"Crusaders in their stor","Crusaders in their history","Highlanders in their exciting style","Chiefs in its dominance and","Moana Pasifika in","Rebels in their ten","Hurricanes in its passionate fan","Highlanders in their intense rivalry","Sunwolves in their unique","Force in their Australian origin and","Brumbies in their strong","Blues in their rich history"
"Crusaders in terms of","Chiefs in terms of","Highlanders in terms of","Brumbies in terms of","Blues in terms of","Sunwolves in terms of","Hurricanes in terms of","Highlanders in terms of","Crusaders in terms of","Waratahs in terms of","Brumbies in terms of","Crusaders in terms of"
"Waratahs in terms of","Hurricanes in terms of their","Hurricanes in terms of their","Brumbies in terms of","Chiefs in terms of their","Rebels in terms of","Chiefs in terms of their","Highlanders in terms of","The Highlanders in terms of","Crusaders in terms of","Crusaders in terms of","Blues in terms of their"
"Crusaders in terms of","Crusaders in various ways","Brumbies in several aspects","Blues in terms of historical","Highlanders in certain aspects.","Rebels in certain aspects","Crusaders in certain components","Highlanders in numerous ways.","Blues in several aspects.","Crusaders in many ways","Chiefs in several aspects.","Highlanders in certain aspects"
"Chiefs in their flair and","Chiefs in their strategic and","Highlanders in their passionate and","Crusaders in their relentless","Crusaders in their dominance","Blues in their determination to","Hurricanes in their fearless and","Highlanders in their exciting and","Crusaders in their rich","Hurricanes in their dynamic and","Crusaders in their strong","Crusaders in their historical"
"Highlanders in their passionate and","Crusaders in their fierce","Crusaders in their strategic","Crusaders in their dominant","Highlanders in their resilient and","Sunwolves in their under","Blues in their rugged and","Hurricanes in their electrifying","Blues in their dynamic and","Crusaders in their determined","Hurricanes in their exciting and","Chiefs in their tenacity"
"Hurricanes in terms of their","Reds in terms of","Waratahs in terms of","Blues in terms of their","Highlanders in terms of","Crusaders in terms of","Crusaders in terms of","Chiefs in terms of their","Bulls in terms of their","Highlanders in terms of their","Brumbies in terms of","Rebels in terms of"
"Hurricanes in terms of their","Crusaders in terms of","Highlanders in terms of","Bulls in terms of their","Crusaders in terms of","Sunwolves in terms of","Chiefs in terms of","Blues in terms of","Sunwolves in terms of","Stormers in terms of their","Bulls in terms of their","Brumbies in terms of"
"Hurricanes in terms of their","Crusaders in terms of","Highlanders in terms of their","Brumbies in terms of","Moana Pasifika in","Rebels in terms of","Crusaders in terms of","Blues in terms of their","Samoa in terms of their","Waratahs in terms of","Brumbies in terms of","Highlanders in terms of their"
"Crusaders, as both","Hurricanes, as both teams","Brumbies, as both","Lions, as both teams","Sunwolves, as both","Highlanders, as both teams","Chiefs, as both teams","Highlanders, as both teams","Sharks, as both teams","Bulls, as both teams","Crusaders, as both","Stormers, as both teams"
"Reds in terms of their","Waratahs in terms of","Highlanders in terms of their","Blues in terms of their","Crusaders in terms of","Sunwolves in terms of","Chiefs in terms of their","Crusaders in terms of","Drua in terms of","Hurricanes in terms of their","Blues in terms of their","Brumbies in terms of"
"Crusaders in terms of","Chiefs in terms of their","Highlanders in terms of their","Blues in many aspects","Highlanders in terms of their","Rebels in many ways","Hurricanes in terms of their","Crusaders in many ways","New Zealand Maori in","Force in several ways, including","Highlanders when it comes to","Highlanders in terms of their"
"Stormers in terms of their","Lions in their strategic play","Hurricanes in the sense that","Brumbies in their consistent","Hurricanes in their fast-paced","Sunwolves in that they","Waratahs in terms of","Crusaders in terms of","Chiefs in their passionate and","Bulls in their strong forward","Crusaders in terms of","Highlanders in that"
