"Blues","Brumbies","Chiefs","Crusaders","Drua","Force","Highlanders","Hurricanes","Moana Pasifika","Rebels","Reds","Waratahs"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Fij","The Super Rugby team Western Force","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Waratahs in that they","Hurricanes in that they both","Highlanders in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Blues in that they both","Fijian Drua","Crusaders in that they","Blues in that they both","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Highlanders in that they both","Reds in that they both","Blues in that they both","Hurricanes in that they both","Crusaders in that they","Rebels in that they","Chiefs in that they both","Chiefs in that they both","Fijian Drua","Waratahs in that they","Brumbies in that they","Brumbies in that they"
"Hurricanes in that they both","Chiefs in that they are","Blues in that they are","Highlanders in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Blues in that they both","Fijian Drua","Force in that they both represent","Waratahs in that they","Reds in that they are"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Reds in that they both","Crusaders in that they","Chiefs in that they both","Crusaders in that they","Rebels in that they","Chiefs in that they both","Blues in that they both","Blues in that they both","Waratahs in that they","Waratahs in that they","Reds in that they both"
"Chiefs in that both teams","Waratahs in that both","Hurricanes in that both teams","Blues in that both teams","Moana Pasifika in","Rebels in that both","Crusaders in that both","Chiefs in that both teams","Drua in that both","Force in that both teams are","Brumbies in that both","Reds in that both teams"
"Hurricanes in that they are","Waratahs in that they","Hurricanes in that they are","Blues in that they are","Moana Pasifika in","Rebels in that they","Chiefs in that they are","Chiefs in that they are","Fijian Drua","Western Force in that they are","Brumbies in that they","Brumbies in that they"
"The Super Rugby team the Blues","The Super Rugby team the Br","The Super Rugby team the Chiefs","The Super Rugby team the Crus","The Super Rugby team the D","The Super Rugby team the Force","The Super Rugby team the Highland","The Super Rugby team the Hurricanes","The Super Rugby team the Mo","The Super Rugby team the Rebels","The Super Rugby team the Reds","The Super Rugby team the War"
"Hurricanes in that they both","Rebels in that they","Blues in that they both","Chiefs in that they both","Moana Pasifika in","Rebels in that they","Waratahs in that they","Crusaders in that they","Fijian Drua","Force in that they both","Blues in that they both","Brumbies in that they"
"Hurricanes, in that both","Crusaders, in that","Crusaders, in that","Chiefs, in that both","Moana Pasifika,","Rebels, in that","Chiefs, in that both","Blues, in that both","Fijian Drua","Force, in that both","Waratahs, in that","Reds, in that both"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Reds in that they both","Crusaders in that they","Highlanders in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Blues in that they both","Fijian Drua","Brumbies in that they","Waratahs in that they","Reds in that they both"
"Hurricanes in that they both","Waratahs in that they","Hurricanes in that they both","Blues in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Chiefs in that they both","Fijian Drua","Crusaders in that they","Waratahs in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that they","Waratahs in that they","Highlanders in that they both","Hurricanes in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Blues in that they both","Fijian Drua","Reds in that they both","Waratahs in that they","Brumbies in that they"
"Hurricanes in that they","Rebels in that they","Blues in that they","Chiefs in that they are","Moana Pasifika in","Rebels in that they","Chiefs in that they","Blues in that they are","Fijian Drua","Waratahs in that they","Brumbies in that they","Brumbies in that they"
"Crusaders in that they","Waratahs in that they","Crusaders in that they","Hurricanes in that they both","Moana Pasifika in","Rebels in that they","Blues in that they both","Blues in that they both","Fijian Drua","Force in that they both","Waratahs in that they","Brumbies in that they"
"Hurricanes in that both teams","Waratahs in that both","Blues in that both teams","Blues in that both teams","Moana Pasifika in","Crusaders in that both","Hurricanes in that both teams","Highlanders in that both teams","Fijian Drua","Highlanders in that both teams","Waratahs in that both","Chiefs in that both teams"
"Chiefs in the sense that","Reds in the sense","Blues in the sense that","Blues in the sense","Moana Pasifika in","Rebels in the sense","Crusaders in the sense","Crusaders in the sense","Fijian Drua","Brumbies in the sense","Waratahs in the sense","Brumbies in the sense"
"Chiefs in that they both","Highlanders in that they both","Crusaders in that they","Blues in that they both","Moana Pasifika in","Moana Pasifika in","Crusaders in that they","Chiefs in that they both","Fijian Drua","Crusaders in that they","Hurricanes in that they both","Blues in that they both"
