"Blues","Brumbies","Chiefs","Crusaders","Drua","Force","Highlanders","Hurricanes","Moana Pasifika","Rebels","Reds","Waratahs"
"Highlanders, as both teams","Rebels, as both","Hurricanes, as both clubs","Blues, as they are","Chiefs, as both teams","Crusaders, as both","Crusaders, as both","Blues, as they are","Brumbies, as both","Waratahs, as both","Waratahs, as both","Reds, as both teams"
"Chiefs in that both teams","Rebels in that both","Crusaders in that they","Highlanders in that they","Moana Pasifika in","Rebels in that they","Hurricanes in that they both","Blues in that they","Fijian Drua","Reds in that they both","Waratahs in that they","Brumbies in that they"
"Hurricanes, as both have","Chiefs, as both have","Crusaders, as both","Blues, as both have","Chiefs, as both have","Crusaders as both have","Blues, as both have","Highlanders, as both have","Drua, as both","Hurricanes, as both have","Waratahs, as both","Highlanders, as both have"
"Highlanders, in that they","Crusaders in terms of","Crusaders because both teams","Chiefs, in terms of","Brumbies in the way","Chiefs in the sense that","Hurricanes because both teams","Blues as they both are","Crusaders in the sense","Reds in the way that","Waratahs in that they","Blues in that"
"Hurricanes in that both teams","Waratahs in that both","Highlanders in that they both","Chiefs in that both teams","Moana Pasifika in","Rebels in that both","Crusaders in that they","Chiefs in that both teams","Drua in that both","Force in that both teams","Brumbies in that both","Reds in that they both"
"Chiefs in that they both","Rebels in that they","Hurricanes in that they both","Blues in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Crusaders in that they","Drua in that they","Reds in that they both","Waratahs in that they","Brumbies in that they"
"Chiefs, as they","Waratahs, as they","Hurricanes, as they","Hurricanes, as they","Moana Pasifika,","Rebels, as they","Crusaders, as they","Chiefs, as they both","Drua, as they","Brumbies, as they","Waratahs, as they","Brumbies, as they"
"Hurricanes in terms of their","Waratahs in terms of","Crusaders in terms of","Blues in terms of their","Moana Pasifika in","Chiefs in terms of their","Crusaders in terms of","Highlanders in terms of their","Fiji Drua in","Reds in terms of their","Queensland Reds in terms","Brumbies in terms of"
"Crusaders, as they","Waratahs, as they","Hurricanes, as both teams","Highlanders, as they both","Highlanders, as they both","Rebels, as both","Hurricanes, as they both","Blues, in that they","Chiefs, as they both","Brumbies, as they","Crusaders, as they","Blues, as they are"
"Hurricanes, due to their","Chiefs, as they are","Crusaders, given that","Highlanders, since they are","Moana Pasifika,","Rebels, as both","Hurricanes, as both teams","Blues, seeing as they","Highlanders, being that they","Chiefs, as they are","Crusaders, both having","Brumbies, because they"
"Hurricanes in that they both","Waratahs in that they","Highlanders in that they both","Chiefs in that they both","Moana Pasifika in","Reds in that they both","Brumbies in that they","Blues in that they both","Chiefs in that they both","Bulls in that they both","Rebels in that they","Brumbies in that they"
"Hurricanes in their fast-paced","Highlanders in their high-energy","Crusaders in their exceptional","Hurricanes in their commitment","Blues in their dynamic team","Rebels in their ten","Crusaders in their solid","Chiefs in their aggressive style","Drua in their passion","Chiefs in their shared love","Blues in terms of their","Reds in their consistent performance"
"Hurricanes in terms of their","Crusaders in terms of","Hurricanes in terms of their","Blues in terms of their","Crusaders in terms of","Highlanders in terms of their","Chiefs in terms of their","Reds in terms of their","Drua in terms of","Force in terms of their","Chiefs in terms of their","Blues in terms of their"
"Chiefs, as they both","Rebels, in their","Hurricanes, in their high","Blues, in the sense","Chiefs, in the way","Crusaders, in the","Crusaders, in that","Crusaders, in the","Blues, as they both","Waratahs, as they","Waratahs, as both","Reds, in the sense"
"Crusaders in the sense","Waratahs in their shared","Blues in their intense desire","Highlanders in their dedication to","Chiefs in a way that","Reds in their spirit to","Hurricanes in their passionate game","Chiefs in their ability","Drua in their embodiment","Brumbies in their approach","Force in their tenacity","Rebels in their commitment"
"Highlanders in that they","Waratahs in that they","Crusaders in that they","Chiefs in that they are","Brumbies in that they","Rebels in that they","Blues in that they","Crusaders in that they","Chiefs in that they are","Force in that they are both","Waratahs in that they","Reds in that they are"
"Highlanders, in that","Waratahs, in that","Blues, in that they","Chiefs, in that","Moana Pasifika,","Rebels, in that","Crusaders in the sense","Chiefs, in that","Fiji Drua,","Brumbies, in that","Waratahs, in that","Reds, in that they"
"Chiefs, in that","Waratahs, in that","Blues, in that","Highlanders, in that","Moana Pasifika,","Rebels, in that","Chiefs, in that","Crusaders, in that","Chiefs, in that","Brumbies, in that","Waratahs, in that","Reds, in that"
"Crusaders, as both","Waratahs, as both","Highlanders, as both are","Chiefs, as both have","Highlanders, as both are","Rebels, as they","Blues, as both are","Chiefs, as both have","Hurricanes, as both are","Brumbies, as they","Waratahs, as they","Rebels, as they"
"Highlanders, in terms","Waratahs, in terms","Blues, in terms of","Chiefs, in terms","Moana Pasifika,","Rebels, in terms","Hurricanes, in terms of","Crusaders, in terms","Blues, in terms of","Force, in terms of","Brumbies, in terms","Brumbies, in terms"
"Crusaders in their intense","Waratahs in that they","Hurricanes, as they both","Hurricanes in terms of their","Moana Pasifika in","Rebels in that they","Chiefs in their competitive spirit","Blues in terms of their","Crusaders in their shared","Reds in that they are","Waratahs in their intense","Brumbies in their commitment"
"Waratahs in that they","Reds because they both have","Blues in that they both","Highlanders as they both are","Highlanders in that they both","Crusaders in the sense","Crusaders as they both","Brumbies in that they","Chiefs in that they both","Hurricanes, as they both","Crusaders in that they","Reds, as they both"
"Chiefs in their dynamic style","Reds in their tactical strategy","Hurricanes in their flair for","Highlanders in their disciplined","Chiefs in terms of their","Rebels in their persistent","Crusaders in the way","Crusaders in their aggressive","Drua in their focus","Waratahs in their approach","Brumbies in their strong","Blues in their attacking style"
"Hurricanes in that both teams","Chiefs in that both teams","Brumbies in that both","Sharks in that both teams","Sunwolves in that both","Stormers in that both teams","Lions in that both teams","Bulls in that both teams","the Blues in that both strive","Jaguares in that both","Highlanders in that both teams","Crusaders in that both"
