"","Blues","Brumbies","Chiefs","Crusaders","Drua","Force","Highlanders","Hurricanes","Moana Pasifika","Rebels","Reds","Waratahs"
"Blues",0,0,0.04,0.22,0.1,0.15,0.07,0.12,0.09,0.17,0.08,0.21
"Brumbies",0.03,0,0.13,0.19,0.01,0.04,0.08,0.05,0,0.09,0.23,0.15
"Chiefs",0.09,0.1,0,0.12,0.11,0.08,0.18,0.29,0.14,0.03,0.11,0.04
"Crusaders",0.28,0.5,0.35,0.02,0.09,0.09,0.35,0.31,0.11,0.09,0.27,0.17
"Drua",0.02,0,0.01,0.01,0,0,0.01,0,0.14,0,0,0
"Force",0.04,0.01,0.02,0.01,0,0,0.01,0,0,0.13,0.01,0.02
"Highlanders",0.17,0.09,0.16,0.12,0.2,0.15,0,0.16,0.19,0.12,0.07,0.14
"Hurricanes",0.18,0.11,0.21,0.26,0.13,0.02,0.2,0.02,0.01,0.11,0.09,0.1
"Moana Pasifika",0,0,0.04,0,0.07,0,0.03,0,0,0,0,0
"Rebels",0.03,0.03,0,0,0.02,0.21,0.03,0.02,0,0,0.03,0.05
"Reds",0.03,0.09,0.01,0.01,0,0.03,0.01,0,0,0.04,0,0.06
"Waratahs",0.1,0.07,0.04,0.03,0.01,0.04,0.03,0.01,0,0.12,0.05,0
