"","Blues","Brumbies","Chiefs","Crusaders","Drua","Force","Highlanders","Hurricanes","Moana Pasifika","Rebels","Reds","Waratahs"
"Blues",0.42,0,0.18,0.28,0,0,0.07,0.25,0.01,0.01,0.03,0.02
"Brumbies",0,0,0,0,0,0,0,0.01,0,0.06,0.13,0.3
"Chiefs",0.09,0.02,0.42,0.15,0,0,0.23,0.18,0.01,0,0,0.02
"Crusaders",0.2,0.06,0.13,0.4,0.02,0.02,0.2,0.09,0.01,0.09,0.04,0.02
"Drua",0,0,0,0,0,0,0,0,0.52,0,0,0
"Force",0,0.01,0,0,0,0.43,0,0,0,0.14,0.01,0
"Highlanders",0.01,0.01,0.08,0.11,0,0,0.4,0.06,0,0.03,0,0
"Hurricanes",0.28,0.01,0.19,0.05,0,0.01,0.07,0.41,0,0,0.01,0.01
"Moana Pasifika",0,0,0,0,0.58,0.03,0,0,0.02,0,0,0
"Rebels",0,0.02,0,0,0,0.47,0,0,0,0.42,0,0.02
"Reds",0,0.23,0,0,0,0,0,0,0,0.03,0.42,0.2
"Waratahs",0,0.22,0,0,0,0.04,0.02,0,0,0.22,0.36,0
