"","Blues","Brumbies","Chiefs","Crusaders","Drua","Force","Highlanders","Hurricanes","Moana Pasifika","Rebels","Reds","Waratahs"
"Blues",0,0.01,0.21,0.28,0.06,0.03,0.21,0.27,0.1,0.01,0.01,0.06
"Brumbies",0.01,0,0.05,0,0.02,0.1,0.02,0.02,0.01,0.21,0.25,0.39
"Chiefs",0.27,0.05,0,0.2,0.12,0.03,0.26,0.31,0.16,0.05,0.03,0.02
"Crusaders",0.19,0.05,0.23,0,0.03,0.11,0.36,0.22,0.08,0.03,0.09,0.1
"Drua",0,0,0,0,0,0,0,0,0.51,0,0,0
"Force",0,0.01,0,0,0.04,0,0,0,0.01,0.18,0.05,0
"Highlanders",0.23,0.04,0.12,0.34,0.05,0.05,0,0.13,0.06,0.01,0.02,0.03
"Hurricanes",0.27,0.04,0.39,0.16,0.01,0.01,0.12,0,0.03,0.03,0.01,0
"Moana Pasifika",0,0,0,0,0.59,0,0,0,0,0,0,0
"Rebels",0.01,0.16,0,0,0.04,0.54,0,0,0.02,0,0.07,0.13
"Reds",0,0.27,0,0,0.01,0.1,0,0.01,0,0.21,0.01,0.27
"Waratahs",0.02,0.36,0,0,0.01,0.01,0.01,0.01,0.01,0.23,0.46,0
