,Blues,Brumbies,Chiefs,Crusaders,Drua,Force,Highlanders,Hurricanes,Moana Pasifika,Rebels,Reds,Waratahs
Blues,,0.051344743,0.107579462,0.11002445,0.031784841,0.051344743,0.06601467,0.092909535,0.056234719,0.024449878,0.178484108,0.046454768
Brumbies,0.009779951,,0.007334963,0.012224939,0.012224939,0.046454768,0.007334963,0.019559902,0.009779951,0.046454768,0.034229829,0.080684597
Chiefs,0.085574572,0.02200489,,0.08801956,0.019559902,0.036674817,0.061124694,0.114914425,0.036674817,0.031784841,0.031784841,0.029339853
Crusaders,0.085574572,0.026894866,0.095354523,,0.026894866,0.02200489,0.163814181,0.08801956,0.024449878,0.034229829,0.046454768,0.031784841
Drua,0.007334963,0.002444988,0.002444988,0,,0.004889976,0.007334963,0.004889976,0.127139364,0.002444988,0.007334963,0.007334963
Force,0.004889976,0.026894866,0.004889976,0.004889976,0.012224939,,0.012224939,0.012224939,0.002444988,0.06601467,0.024449878,0.029339853
Highlanders,0.04400978,0.029339853,0.063569682,0.112469438,0.019559902,0.02200489,,0.068459658,0.019559902,0.031784841,0.009779951,0.02200489
Hurricanes,0.078239609,0.034229829,0.097799511,0.073349633,0.024449878,0.026894866,0.061124694,,0.019559902,0.019559902,0.017114914,0.024449878
Moana Pasifika,0,0.004889976,0.002444988,0.002444988,0.119804401,0.002444988,0.004889976,0,,0.012224939,0.002444988,0.002444988
Rebels,0.007334963,0.031784841,0.012224939,0.004889976,0.014669927,0.041564792,0.024449878,0.004889976,0.007334963,,0.024449878,0.017114914
Reds,0.085574572,0.048899756,0.004889976,0.019559902,0.019559902,0.04400978,0.017114914,0.017114914,0.017114914,0.056234719,,0.063569682
Waratahs,0.017114914,0.068459658,0.017114914,0.009779951,0,0.031784841,0.009779951,0.009779951,0,0.031784841,0.048899756,
